sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,rebased_nfa_current_Y,cum_va_current_Y,cum_va_asset_current_Y,cum_va_liability_current_Y,cum_ca_current_Y,cum_ca_asset_current_Y,cum_ca_liability_current_Y,cum_ca_bond_current_Y,q_us_index,q_row_index,row_equity_asset_current_Y,us_equity_liability_current_Y
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2781098186997062,0.16556991369979623
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,2,1,-0.007721869720817993,-0.005902089992555523,-0.002663479057470265,-0.003238610935085258,-0.0018197797282625042,0.0044204121873444285,-0.004702798311437473,-0.0015373936041694599,1.0196258533113685,0.9903908680426188,0.2789390000723863,0.17295899516770386
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,3,2,-0.014630197267137898,-0.011483619067781177,-0.004933586164209315,-0.006550032903571861,-0.003146578199356724,0.00926379135931375,-0.009447777356824198,-0.002962592201846276,1.0394181879616873,0.9822078232454329,0.27958136039528797,0.17986584708606518
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,4,3,-0.020721452044863226,-0.016733018494814872,-0.0068412400179884425,-0.00989177847682643,-0.003988433550048369,0.014485232923047802,-0.014207430691526997,-0.004266235781569176,1.0593289614215378,0.9752539890890712,0.28003925755888287,0.18626701996997314
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,5,4,-0.02600410876101371,-0.02164211511432193,-0.008416586990294917,-0.013225528124027013,-0.004361993646691814,0.020036266227615722,-0.01895530999835998,-0.005442949875947554,1.0793232341689296,0.9693645150750267,0.28031849390098607,0.19214800419766226
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,6,5,-0.030496540819291075,-0.02620639228074446,-0.009688802389680212,-0.01651758989106425,-0.004290148538546614,0.025867026495156493,-0.023666188933297357,-0.006490986100405754,1.0993774300088175,0.9644009558315308,0.28042775131380737,0.19750210587824046
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,7,6,-0.03422502299250586,-0.03042498244134806,-0.01068590995850968,-0.019739072482838377,-0.003800040551157795,0.03192797318497108,-0.028316227436757435,-0.007411786299371446,1.1194777176073585,0.96024668820864,0.28037801126553974,0.20232930848911204
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,8,7,-0.03722188318678822,-0.03430045148159023,-0.011434623930704152,-0.02286582755088607,-0.00292143170519804,0.038171171219096564,-0.03288313290003625,-0.008209470024258364,1.139618501626994,0.9568031883978316,0.2801819721149989,0.20663517263985484
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,9,8,-0.0395238654301891,-0.03783845876710496,-0.01196022644952348,-0.025878232317581476,-0.0016854066630841453,0.04455120251851225,-0.037346303638801405,-0.008890305542795008,1.159801101345365,0.9539869836278116,0.27985349671683707,0.2104298176550602
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,10,9,-0.04117068827232598,-0.04104732776774603,-0.012286474880550432,-0.02876085288719559,-0.00012336050457999024,0.051025748703703404,-0.041686951914834805,-0.0094621572934486,1.1800325516226888,0.9517271745340892,0.2794070944945989,0.21372699747920512
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,11,10,-0.042203828842820576,-0.043937589433886315,-0.012435545607722413,-0.031502043826163895,0.0017337605910657276,0.05755592470900956,-0.045888194741725036,-0.009933969376218817,1.2003245849906352,0.9499633986040298,0.2788574650024521,0.21654328725217342
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,12,11,-0.04266550867764432,-0.046521522149273985,-0.012428008645521684,-0.03409351350375229,0.003856013471629626,0.06410641413731401,-0.04993511049192329,-0.010315290173761102,1.2206927554360059,0.9486441608949578,0.27821910633417857,0.2188973764307181
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,13,12,-0.04259786865164706,-0.04881271223664489,-0.012282829865044583,-0.0365298823716003,0.006214843584997779,0.07064546075043453,-0.053814759193495994,-0.010615857971940777,1.2411556946753066,0.9477254622473681,0.2775059954306506,0.22080946343037375
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,14,13,-0.042042318743451615,-0.05082565355511721,-0.012017397944785123,-0.038808255610332076,0.008783334811665553,0.07714476174321644,-0.05751616699992712,-0.010845259931623786,1.2617344998850957,0.947169665209596,0.2767313414814664,0.2223007455150741
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,15,14,-0.04103904193487188,-0.052575395256413276,-0.01164757177030535,-0.04092782348610791,0.011536353321541402,0.08357929930899723,-0.06103027702182888,-0.011012668965626958,1.2824522421759912,0.9469445524513475,0.2759074101266564,0.22339299382039646
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,16,15,-0.03962662753903861,-0.05407723859238507,-0.011187742956891645,-0.04288949563549341,0.014450611053346425,0.08992713367553634,-0.06434987215763585,-0.011126650464554088,1.303333573706931,0.9470225450510512,0.27504540931495175,0.22410820295222206
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,17,16,-0.03784181159975999,-0.055346481055848204,-0.010650908880573231,-0.04469557217527495,0.017504669456088234,0.09616917752269578,-0.06746947481356057,-0.011195033253047004,1.3244044139018163,0.9473800538139897,0.2741554297325187,0.2244683041278272
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,18,17,-0.03571931437089684,-0.05639821214348044,-0.010048754951158317,-0.0463494571923221,0.020678897772583582,0.10228896784632804,-0.070385228577742,-0.011224841496002485,1.345691728333312,0.9479969321471655,0.2732464313330988,0.22449493711974447
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,19,18,-0.03329174584958042,-0.057247147690976614,-0.009391739812731451,-0.047855407878245146,0.02395540184139618,0.10827243914919481,-0.07309476871602619,-0.011222268591772463,1.3672233561411977,0.9488560227372203,0.27232626422130535,0.2242092680706631
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,20,19,-0.030589575419234273,-0.05790750695511827,-0.008689184053635553,-0.049218322901482696,0.027317931535884007,0.11410770850798395,-0.07559708493281118,-0.011192692039288788,1.3890279097794835,0.9499427717881287,0.27140171774316413,0.22363185062274424
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,21,20,-0.027641144939431952,-0.05839292088364838,-0.007949357989411278,-0.05044356289423709,0.030751775944216412,0.11978486940841854,-0.0778923831834234,-0.01114071028077876,1.4111347154773475,0.9512449065109871,0.27047858553696347,0.22278252194322568
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,22,21,-0.024472710598326113,-0.05871636452751021,-0.007179566308058894,-0.05153679821945131,0.034243653929184055,0.12529580105545818,-0.07998194727126091,-0.011070199855013228,1.4335737763437926,0.9527521681927676,0.26956174584559356,0.22168032381968347
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,23,22,-0.021108521349099612,-0.058890120177173426,-0.00638623207209506,-0.052503888105078354,0.03778159882807382,0.13063399034224196,-0.08186800663264078,-0.010984384881527375,1.4563757992747337,0.9544560793769634,0.268655245217423,0.22034345540843994
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,24,23,-0.017570905950270933,-0.05892575378701619,-0.005574974889333738,-0.053350778897682444,0.041354847836745215,0.13579436667697087,-0.08355360969164445,-0.010885909148581233,1.4795722267164717,0.9563497536776511,0.2677623850694252,0.21878924124987537
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,25,24,-0.01388037272901825,-0.05883410685998531,-0.004750684599454,-0.0540834222605313,0.044953734130967045,0.1407731494642063,-0.08504250563269944,-0.010776909700539846,1.5031952922461629,0.9584277361924651,0.2668858069033796,0.21703411664077646
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,26,25,-0.010055720688348094,-0.058625303167563675,-0.003917591034768617,-0.05470771213279505,0.04856958247921556,0.14556770834812732,-0.08633903560964293,-0.010659090259268861,1.5272781092962484,0.960685866601715,0.266027573746773,0.21509362902179469
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,27,26,-0.006114151328348115,-0.0583087632376923,-0.0030793283280010964,-0.055229434909691205,0.05219461190934421,0.15017643406472742,-0.0874480334395838,-0.01053378871579941,1.5518547722611684,0.9631211661057489,0.26518924594536475,0.2129824491456584
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,28,27,-0.002071378138607213,-0.057893223540463896,-0.002238993453715711,-0.055654230086748184,0.05582184540185665,0.15459861990855192,-0.088374735747275,-0.010402038759420265,1.5769604634637213,0.9657317464628176,0.2643719515473034,0.21071438918794846
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,29,28,0.002058262736788954,-0.05738676246430577,-0.0013992004717562855,-0.05598756199254948,0.059445025201094716,0.1588343527112572,-0.08912470221657644,-0.010264625293586046,1.6026315827045874,0.9685167335999654,0.2635764492595943,0.20830242940993426
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,30,29,0.0062617044936675425,-0.056796830360327996,-0.0005621303154489356,-0.05623470004487906,0.06305853485399551,0.1628844141519243,-0.08970374462558162,-0.0101221346723472,1.6289058942279764,0.9714762047812567,0.26280318554778703,0.20575874983841033
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,31,30,0.01052704861854894,-0.0561302795549954,0.00027042468953629125,-0.056400704244531696,0.0666573281735443,0.16675018923440255,-0.09011786482709044,-0.009974996233767778,1.6558226770064772,0.9746111415789358,0.2620523444758972,0.20309476440264537
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,32,31,0.014843466105747966,-0.0553933978926856,0.0010970196307117702,-0.05649041752339737,0.07023686399843355,0.1704335843443949,-0.0903732004712076,-0.009823519874753757,1.6834228999217309,0.9779233909276055,0.26132389211278856,0.200321158750582
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,33,32,0.01920110769428679,-0.054591939467688255,0.0019165209451506725,-0.05650846041283894,0.07379304716197504,0.17393695122552724,-0.09047597839706213,-0.009667925666490067,1.7117493952087912,0.981415641036774,0.26061761472775624,0.19744792777850365
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,34,33,0.023591016226093883,-0.05373115825613347,0.0027280728009562876,-0.05645923105708976,0.07732217448222732,0.17726301925877283,-0.09043247460666815,-0.00950837016987738,1.7408470615403793,0.985091402142015,0.2599331520056936,0.19448441572384056
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,35,34,0.028005048877344566,-0.05281583747884648,0.0035310682033070154,-0.0563469056821535,0.08082088635619102,0.18041483352463794,-0.09024898014264612,-0.009344967025800817,1.7707630636531566,0.9889550012192723,0.2592700261166576,0.1914393538938579
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,36,35,0.032435798651094576,-0.05185032323773814,0.0043251211421513145,-0.056175444379889465,0.08428612188883272,0.18339569935287045,-0.08993177296801098,-0.00917780449602678,1.8015470767782102,0.9930115768461988,0.25862766517271857,0.18832090188770312
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,37,36,0.03687652747088016,-0.050838551956201634,0.005110043417608665,-0.05594859537381031,0.08771507942708182,0.18620913233724526,-0.08948709395105388,-0.009006958959109574,1.8332515230272828,0.9972670889468951,0.2580054245783169,0.18513668411277517
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,38,37,0.041321104943035744,-0.04978407661993069,0.005885823874913201,-0.0556699004948439,0.09110518156296649,0.1888588131412341,-0.08892112705725717,-0.008832504521010465,1.865931825279588,1.0017283355980413,0.2574026047358445,0.18189382526150766
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,39,38,0.04576394428387231,-0.04869009661206227,0.006652608110513968,-0.05534270472257625,0.09445404089593457,0.19134854775115182,-0.08823998438202352,-0.008654522473193765,1.8996467144813098,1.006402969627406,0.2568184649120856,0.17859898888525377
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,40,39,0.05019995266962733,-0.047559479788174895,0.007410682470983221,-0.05497016225915813,0.0977594324578022,0.19368223184307695,-0.08744969284972304,-0.008473106535551726,1.9344585222183175,1.0112995311283361,0.25625223646806294,0.1752584087833874
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,41,40,0.05462448114662077,-0.04639478594870792,0.00816045891193671,-0.05455524486064464,0.1010192670953287,0.19586381878237852,-0.08655618478443959,-0.008288366902610231,1.9704335164171694,1.0164274832328486,0.25570313275978124,0.17187792186495252
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,42,41,0.059033278039529,-0.04519828959414742,0.008902461143222278,-0.0541007507373697,0.10423156763367641,0.19789729191240762,-0.08556529076309419,-0.008100433515637046,2.0076422709575854,1.0217972535102682,0.2551703574924502,0.16846299962174066
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,43,42,0.06342244768265794,-0.043972000260786945,0.009637312604481477,-0.05360931286526843,0.10739444794344488,0.19978664015123096,-0.08448273432739618,-0.00790945788038993,2.046160061228369,1.0274202841348605,0.2546531118289775,0.1650187770704068
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,44,43,0.06778841426566348,-0.04271768027264198,0.010365726265768035,-0.05308340653841002,0.11050609453830543,0.2015358361517062,-0.08331412841132431,-0.007715613202076477,2.086067285807272,1.0333090919684673,0.2541506002297301,0.16155007928340911
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,45,44,0.0721278861099029,-0.04143686315340363,0.01108849481990202,-0.05252535797330565,0.11356474926330656,0.20314881770872906,-0.08206497365239683,-0.007519094793025679,2.1274499404309353,1.0394773336001222,0.2536620349446694,0.15806144788682994
